RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
142,15724944,Tien,663,France,Male,34,7,0,2,1,1,180427.24,0
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
144,15713483,Greeves,793,Spain,Male,52,2,0,1,1,0,159123.82,1
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
150,15794413,Harris,416,France,Male,32,0,0,2,0,1,878.87,0
151,15650237,Morgan,754,Spain,Female,32,7,0,2,1,0,89520.75,0
152,15759618,Alexeeva,535,France,Female,48,9,0,1,1,0,149892.79,1
153,15811589,Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800.42,0
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
155,15709368,Milne,614,France,Female,43,6,0,2,1,1,109041.53,0
156,15679145,Chou,706,Spain,Male,57,7,0,1,1,0,17941.16,1
157,15655007,Li,758,France,Female,33,7,0,2,0,0,82996.47,0
158,15623595,Clayton,586,Spain,Female,28,2,0,2,1,1,92067.35,0
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
162,15641122,Wei,684,France,Male,30,2,0,2,1,0,83473.82,0
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
164,15680772,Hu,721,Spain,Female,36,2,0,2,1,1,106977.8,0
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
169,15574692,Pinto,667,Spain,Female,39,2,0,2,1,0,40721.24,1
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
175,15625524,Rowe,512,France,Male,40,5,0,2,1,1,146457.83,0
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
177,15645248,Ho,510,France,Female,30,0,0,2,1,1,130553.47,0
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
182,15789669,Hsia,510,France,Male,65,2,0,2,1,1,48071.61,0
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
184,15810845,T'ang,636,France,Male,42,2,0,2,1,1,55470.78,0
185,15719377,Cocci,804,France,Female,50,4,0,1,1,1,8546.87,1
186,15654506,Chang,514,France,Male,32,8,0,2,1,0,95857.18,0
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0
188,15708710,Ford,525,Spain,Female,37,0,0,1,0,1,131521.72,0
189,15726676,Marshall,616,Spain,Male,30,5,0,2,0,1,196108.51,0
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0
193,15756850,Golovanov,479,France,Male,40,1,0,2,0,0,114996.43,0
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0
197,15635905,Moran,616,Spain,Female,32,6,0,2,1,1,43001.46,0
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
199,15656176,Jenkins,501,France,Male,57,10,0,2,1,1,47847.19,0
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0
203,15600974,He,516,Spain,Male,50,5,0,1,0,1,146145.93,1
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
